SUBMISSION_DATETIME,FORM_TYPE,VP_REGION_NAME,DF_MARKET_NAME,LOCATION_NAME,CLASS,FIELD_INTELLIGENCE_TRANSLATED,TMO_NAME,PRODUCT_CATEGORY_NAME,PMI_PRODUCT_NAME,BRAND_NAME,BRAND_NAME_FROM,BRAND_NAME_TO
2023-04-13 00:00:00,TOBACCO_CATEGORY,Africa,Australia,Location_E,Competition,Regulatory changes affecting product availability,TMO_Beta,E-Cigarettes,,Competitor_2,,
2023-11-27 00:00:00,CROSS_CATEGORY,Africa,Brazil,Location_H,Availability,Positive feedback on new product launch in the region,,Accessories,,,,
2024-02-18 00:00:00,BRAND_SOURCING,Latin America,South Africa,Location_A,Service,Positive brand perception following marketing campaign,,Traditional,,,Brand_X,PMI_Brand_3
2023-02-28 00:00:00,BRAND_SOURCING,Latin America,Japan,Location_D,Consumer Behavior,Consumer preference shift towards premium products,,Traditional,,,Brand_Z,Marlboro
2024-10-08 00:00:00,INFRA_MAINTENANCE,North America,France,Location_B,Service,Consumer switching behavior analysis shows retention improvement,,Heated Tobacco,,,,
2023-12-12 00:00:00,INFRA_MAINTENANCE,Europe,Brazil,Location_D,Consumer Behavior,Regulatory changes affecting product availability,,Accessories,,,,
2024-05-23 00:00:00,CROSS_CATEGORY,North America,Brazil,Location_B,Service,Positive feedback on new product launch in the region,,Heated Tobacco,,,,
2024-04-21 00:00:00,BRAND_SOURCING,Europe,Germany,Location_B,Regulatory,Competitor promotion impacting market share,,Accessories,,,Brand_X,Marlboro
2024-12-20 00:00:00,INFRA_MAINTENANCE,Europe,South Africa,Location_H,Product Quality,Distribution challenges in remote locations,,Traditional,,,,
2023-06-06 00:00:00,INFRA_MAINTENANCE,North America,Canada,Location_G,Pricing,Customer reported price increase concern affecting purchase decisions,,Accessories,,,,
2024-10-09 00:00:00,CROSS_CATEGORY,Asia Pacific,USA,Location_H,Availability,Stock shortage observed for premium product line,,Traditional,,,,
2024-01-14 00:00:00,INFRA_MAINTENANCE,Europe,France,Location_B,Pricing,Regulatory changes affecting product availability,,Traditional,,,,
2023-02-02 00:00:00,INFRA_MAINTENANCE,Asia Pacific,Australia,Location_F,Availability,Stock shortage observed for premium product line,,Traditional,,,,
2024-09-04 00:00:00,CROSS_CATEGORY,North America,South Africa,Location_B,Consumer Behavior,Consumer switching behavior analysis shows retention improvement,,E-Cigarettes,,,,
2024-01-28 00:00:00,BRAND_SOURCING,Europe,Japan,Location_G,Consumer Behavior,New product category showing strong adoption,,Accessories,,,Brand_B,IQOS
2024-04-29 00:00:00,INFRA_MAINTENANCE,Asia Pacific,Brazil,Location_E,Consumer Behavior,Market research indicates growth opportunity,,Accessories,,,,
2024-07-31 00:00:00,BRAND_SOURCING,Africa,Canada,Location_E,Regulatory,Positive brand perception following marketing campaign,,Accessories,,,Brand_A,PMI_Brand_3
2024-10-01 00:00:00,BRAND_SOURCING,Latin America,Canada,Location_G,Regulatory,Customer reported price increase concern affecting purchase decisions,,Traditional,,,Brand_X,PMI_Brand_3
2024-09-24 00:00:00,TOBACCO_CATEGORY,Africa,Canada,Location_C,Consumer Behavior,Strong consumer interest in new heated tobacco category,TMO_Gamma,Traditional,,Brand_B,,
2023-08-13 00:00:00,CROSS_CATEGORY,Europe,Australia,Location_G,Availability,Market expansion opportunities identified in urban areas,,Accessories,,,,
2023-04-23 00:00:00,CONSUMER_FEEDBACK,Europe,Brazil,Location_D,Regulatory,Regulatory changes affecting product availability,,Heated Tobacco,Marlboro,,,
2023-04-23 00:00:00,INFRA_MAINTENANCE,North America,Australia,Location_A,Availability,New product category showing strong adoption,,Heated Tobacco,,,,
2024-10-03 00:00:00,TOBACCO_CATEGORY,Africa,USA,Location_A,Availability,Positive feedback on new product launch in the region,TMO_Epsilon,Accessories,,PMI_Brand_3,,
2024-11-02 00:00:00,TOBACCO_CATEGORY,Asia Pacific,Australia,Location_C,Pricing,Strong consumer interest in new heated tobacco category,TMO_Epsilon,Accessories,,Brand_Y,,
2023-07-17 00:00:00,CROSS_CATEGORY,North America,Canada,Location_D,Availability,Strong consumer interest in new heated tobacco category,,Nicotine Pouches,,,,
2024-10-21 00:00:00,TOBACCO_CATEGORY,Asia Pacific,Brazil,Location_C,Product Quality,Stock shortage observed for premium product line,TMO_Gamma,Accessories,,Competitor_2,,
2024-05-03 00:00:00,CONSUMER_FEEDBACK,Europe,Australia,Location_A,Availability,Service training needs identified for retail staff,,Heated Tobacco,Marlboro,,,
2023-09-20 00:00:00,TOBACCO_CATEGORY,Europe,Canada,Location_D,Service,New product category showing strong adoption,TMO_Beta,Traditional,,Marlboro,,
2024-03-28 00:00:00,INFRA_MAINTENANCE,Asia Pacific,France,Location_A,Pricing,Stock shortage observed for premium product line,,E-Cigarettes,,,,
2023-07-27 00:00:00,CROSS_CATEGORY,Latin America,Australia,Location_F,Pricing,Consumer preference shift towards premium products,,E-Cigarettes,,,,
2024-09-16 00:00:00,TOBACCO_CATEGORY,Latin America,Japan,Location_H,Regulatory,Stock shortage observed for premium product line,TMO_Alpha,Nicotine Pouches,,Brand_Y,,
2023-12-04 00:00:00,BRAND_SOURCING,Asia Pacific,Canada,Location_D,Pricing,Competitor promotion impacting market share,,Traditional,,,Competitor_1,Marlboro
2024-05-18 00:00:00,CROSS_CATEGORY,North America,USA,Location_H,Service,Market research indicates growth opportunity,,Nicotine Pouches,,,,
2024-07-16 00:00:00,CROSS_CATEGORY,Asia Pacific,Germany,Location_E,Regulatory,Customer reported price increase concern affecting purchase decisions,,Accessories,,,,
2024-04-25 00:00:00,INFRA_MAINTENANCE,Latin America,Japan,Location_D,Availability,New product category showing strong adoption,,Traditional,,,,
2023-06-21 00:00:00,TOBACCO_CATEGORY,Africa,South Africa,Location_F,Availability,Market expansion opportunities identified in urban areas,TMO_Epsilon,Nicotine Pouches,,Brand_X,,
2023-10-29 00:00:00,INFRA_MAINTENANCE,Asia Pacific,USA,Location_D,Consumer Behavior,Customer reported price increase concern affecting purchase decisions,,E-Cigarettes,,,,
2023-05-08 00:00:00,BRAND_SOURCING,North America,Italy,Location_G,Regulatory,Stock shortage observed for premium product line,,Heated Tobacco,,,Competitor_2,PMI_Brand_2
2024-09-30 00:00:00,CROSS_CATEGORY,Europe,Germany,Location_B,Pricing,Customer satisfaction high with recent product improvements,,Traditional,,,,
2024-01-28 00:00:00,CROSS_CATEGORY,Africa,Italy,Location_G,Product Quality,Stock shortage observed for premium product line,,Heated Tobacco,,,,
2024-02-12 00:00:00,INFRA_MAINTENANCE,Latin America,Italy,Location_G,Pricing,Competitor promotion impacting market share,,Nicotine Pouches,,,,
2023-01-20 00:00:00,CONSUMER_FEEDBACK,Latin America,Japan,Location_G,Consumer Behavior,Positive feedback on new product launch in the region,,Heated Tobacco,Marlboro,,,
2024-10-26 00:00:00,BRAND_SOURCING,Africa,UK,Location_B,Product Quality,New product category showing strong adoption,,Accessories,,,Brand_Y,PMI_Brand_3
2024-03-19 00:00:00,INFRA_MAINTENANCE,North America,Australia,Location_E,Service,Positive brand perception following marketing campaign,,Accessories,,,,
2023-01-05 00:00:00,TOBACCO_CATEGORY,Africa,Brazil,Location_F,Consumer Behavior,Stock shortage observed for premium product line,TMO_Delta,Nicotine Pouches,,Brand_Y,,
2024-09-27 00:00:00,BRAND_SOURCING,Asia Pacific,USA,Location_H,Consumer Behavior,Market research indicates growth opportunity,,Accessories,,,Brand_Y,PMI_Brand_2
2024-04-18 00:00:00,INFRA_MAINTENANCE,North America,South Africa,Location_A,Product Quality,Customer reported price increase concern affecting purchase decisions,,Heated Tobacco,,,,
2023-04-06 00:00:00,CONSUMER_FEEDBACK,Africa,South Africa,Location_A,Competition,Regulatory changes affecting product availability,,Nicotine Pouches,Philip Morris,,,
2023-09-04 00:00:00,CROSS_CATEGORY,Latin America,Italy,Location_H,Availability,Service quality issues reported at retail locations,,Traditional,,,,
2023-10-12 00:00:00,TOBACCO_CATEGORY,Africa,USA,Location_F,Regulatory,Consumer preference shift towards premium products,TMO_Epsilon,Accessories,,PMI_Brand_3,,
